accuracy,wpm,comprehension,label
98,165,95,normal
96,150,100,normal
94,140,90,normal
99,175,100,normal
97,160,95,normal
95,145,92,normal
93,135,88,normal
96,155,90,normal
98,180,95,normal
94,150,94,normal
97,170,92,normal
95,160,98,normal
92,140,90,normal
96,145,95,normal
99,155,100,normal
94,165,92,normal
97,150,96,normal
93,155,89,normal
95,175,94,normal
96,135,91,normal
88,130,85,decoding
82,145,90,decoding
75,135,88,decoding
85,120,82,decoding
78,150,90,decoding
90,125,85,decoding
80,140,92,decoding
86,115,80,decoding
72,155,88,decoding
84,130,86,decoding
89,110,84,decoding
77,145,90,decoding
83,125,78,decoding
91,135,82,decoding
79,150,85,decoding
87,140,88,decoding
74,130,80,decoding
85,155,90,decoding
81,120,86,decoding
88,145,83,decoding
95,85,90,fluency
93,75,92,fluency
97,65,88,fluency
94,95,95,fluency
96,80,90,fluency
92,105,94,fluency
90,90,88,fluency
95,110,92,fluency
91,100,90,fluency
97,70,95,fluency
94,85,89,fluency
96,105,96,fluency
93,90,91,fluency
98,75,94,fluency
92,110,90,fluency
95,100,93,fluency
89,95,87,fluency
94,70,90,fluency
96,115,92,fluency
91,80,89,fluency
94,130,60,comprehension
96,120,55,comprehension
90,125,45,comprehension
95,110,50,comprehension
92,135,58,comprehension
88,115,48,comprehension
94,105,62,comprehension
97,125,40,comprehension
91,130,55,comprehension
93,115,65,comprehension
89,120,50,comprehension
95,140,58,comprehension
92,110,45,comprehension
96,130,52,comprehension
90,105,60,comprehension
94,125,48,comprehension
87,115,55,comprehension
93,135,50,comprehension
95,120,63,comprehension
91,140,57,comprehension
